CPU_STREAM_START_UTC 2026-09-14T20:35:25Z
Linux 6.8.0-138-generic (bench-driver-1) 	09/14/26 	_x86_64_	(8 CPU)

20:35:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:32       2   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:32       3   87.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    9.00
20:35:32       4   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:32       5   93.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:32       6   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:32       7   89.90    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:35:32     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:33     all   90.43    0.00    3.90    0.00    0.00    0.13    0.00    0.00    0.00    5.54
20:35:33       0   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       1   98.99    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       2   99.01    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       3   66.67    0.00   14.14    0.00    0.00    1.01    0.00    0.00    0.00   18.18
20:35:33       4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       5   93.94    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       6   97.98    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:33       7   68.69    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   26.26

20:35:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:34     all   79.62    0.00    2.12    0.00    0.00    0.00    0.00    0.00    0.00   18.25
20:35:34       0   28.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   71.00
20:35:34       1   83.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   11.00
20:35:34       2   36.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   64.00
20:35:34       3   92.93    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:34       4   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:34       5   98.02    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:34       6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:34       7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

20:35:34     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:35:35     all   59.72    0.00    3.54    0.25    0.00    0.63    0.00    0.00    0.00   35.86
20:35:35       0    0.99    0.00    2.97    0.99    0.00    4.95    0.00    0.00    0.00   90.10
20:35:35       1   96.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:35       2    2.00    0.00    7.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
20:35:35       3   94.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:35       4   67.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   29.00
20:35:35       5   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
20:35:35       6   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
